StudentID,Year,Bi Std,Bi Teacher,Bi ATL,Bi Compl. Of Work,Bi Sub Achievement,BM Std,BM Teacher,BM ATL,BM Compl. Of Work,BM Sub Achievement,Ch Std,Ch Teacher,Ch ATL,Ch Compl. Of Work,Ch Sub Achievement,CB Std,CB Teacher,CB ATL,CB Compl. Of Work,CB Sub Achievement,CL Std,CL Teacher,CL ATL,CL Compl. Of Work,CL Sub Achievement,Ec Std,Ec Teacher,Ec ATL,Ec Compl. Of Work,Ec Sub Achievement,EB Std,EB Teacher,EB ATL,EB Compl. Of Work,EB Sub Achievement,ELL Std,ELL Teacher,ELL ATL,ELL Compl. Of Work,ELL Sub Achievement,FB Std,FB Teacher,FB ATL,FB Compl. Of Work,FB Sub Achievement,Ge Std,Ge Teacher,Ge ATL,Ge Compl. Of Work,Ge Sub Achievement,Hi Std,Hi Teacher,Hi ATL,Hi Compl. Of Work,Hi Sub Achievement,Jli Std,Jli Teacher,Jli ATL,Jli Compl. Of Work,Jli Sub Achievement,KLi Std,KLi Teacher,KLi ATL,KLi Compl. Of Work,KLi Sub Achievement,Cab Std,Cab Teacher,Cab ATL,Cab Compl. Of Work,Cab Sub Achievement,MS Std,MS Teacher,MS ATL,MS Compl. Of Work,MS Sub Achievement,Ma Std,Ma Teacher,Ma ATL,Ma Compl. Of Work,Ma Sub Achievement,Predicted Grade,Actual Grade,Scaled Total,Mu Std,Mu Teacher,Mu ATL,Mu Compl. Of Work,Mu Sub Achievement,Ph Std,Ph Teacher,Ph ATL,Ph Compl. Of Work,Ph Sub Achievement,Ps Std,Ps Teacher,Ps ATL,Ps Compl. Of Work,Ps Sub Achievement,SAb Std,SAb Teacher,SAb ATL,SAb Compl. Of Work,SAb Sub Achievement,SB Std,SB Teacher,SB ATL,SB Compl. Of Work,SB Sub Achievement,SEHS Std,SEHS Teacher,SEHS ATL,SEHS Compl. Of Work,SEHS Sub Achievement,TB Std,TB Teacher,TB ATL,TB Compl. Of Work,TB Sub Achievement,Th Std,Th Teacher,Th ATL,Th Compl. Of Work,Th Sub Achievement,ToK Std,ToK Teacher,ToK ATL,ToK Compl. Of Work,ToK Sub Achievement,ToC Std,ToC Teacher,ToC ATL,ToC Compl. Of Work,ToC Sub Achievement,Var Std,Var Teacher,Var ATL,Var Compl. Of Work,Var Sub Achievement
110803566250,2020,HL,SSh,6,6,5,,,,,,HL,SOn,5,5,6,,,,,,SL,CHY,6,6,5,SL,ATa,6,6,6,HL,CHe,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,6,6,5,,,,,,,,,,
144105519527,2020,,,,,,SL,AHi,6,6,6,SL,PMK,6,5,5,,,,,,SL,CHY,6,6,6,,,,,,HL,CHe,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,JTo,7,7,6,6,6,73,,,,,,HL,TGe,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGo,6,4,5,,,,,,,,,,
095903705547,2020,,,,,,,,,,,HL,SOn,7,7,7,,,,,,,,,,,,,,,,,,,,,SL,MHo,7,7,6,SL,CRo,7,7,7,SL,SSe,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,7,7,7,7,7,85,,,,,,HL,HWK,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HWK,7,7,7,,,,,,,,,,
130251705547,2020,,,,,,HL,JMa,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,HL,MLi,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,FYi,5,5,3,,,,,,,,,SL,KKo,5,5,2,HL,SDa,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,PEv,6,5,5,,,,,,,,,,
092357447918,2020,HL,LLo,6,7,6,HL,PNg,6,7,5,HL,SOn,6,6,5,,,,,,,,,,,,,,,,,,,,,SL,MHo,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,6,7,5,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEv,6,6,5,,,,,,,,,,
150534462017,2020,,,,,,SL,AHi,5,5,4,HL,HTo,5,5,5,,,,,,,,,,,,,,,,,,,,,SL,MHo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,JTo,6,6,4,4,3,42,,,,,,HL,TGe,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GGo,4,4,5,,,,,,,,,,
142055559414,2020,HL,LLo,6,5,4,,,,,,SL,PMK,4,4,2,SL,KLK,7,7,7,,,,,,HL,AWo,5,5,4,,,,,,HL,PTh,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,3,3,1,3,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRL,5,6,5,,,,,,,,,,
101522705547,2020,HL,LLo,7,7,5,,,,,,HL,HTo,5,6,4,,,,,,,,,,,,,,,,,,,,,HL,KHo,7,7,6,,,,,,,,,,,SL,CTa,7,7,6,,,,,,,,,,,,,,,,,,,,,SL,LLP,7,7,6,6,6,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSe,6,6,6,,,,,,,,,,
100453705547,2020,SL,RGo,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,PTh,7,7,7,HL,CRo,7,7,7,SL,WCl,7,7,7,HL,CTa,7,7,7,,,,,,,,,,,,,,,,SL,CLe,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,7,7,7,,,,,,,,,,
111839705547,2020,,,,,,,,,,,SL,PMK,7,6,5,,,,,,,,,,,HL,CTH,6,6,6,,,,,,SL,EMu,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,6,6,5,5,6,71,,,,,,HL,HWK,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSe,6,6,6,,,,,,,,,,
